year,state,population
1950,Alaska,135000
1951,Alaska,158000
1952,Alaska,189000
1953,Alaska,205000
1954,Alaska,215000
1955,Alaska,222000
1956,Alaska,224000
1957,Alaska,231000
1958,Alaska,224000
1959,Alaska,224000
1960,Alaska,229000
1961,Alaska,238000
1962,Alaska,246000
1963,Alaska,256000
1964,Alaska,263000
1965,Alaska,271000
1966,Alaska,271000
1967,Alaska,278000
1968,Alaska,285000
1969,Alaska,296000
1970,Alaska,302583
1971,Alaska,315510
1972,Alaska,324464
1973,Alaska,330543
1974,Alaska,341063
1975,Alaska,376170
1976,Alaska,400969
1977,Alaska,403436
1978,Alaska,404766
1979,Alaska,402753
1980,Alaska,405315
1981,Alaska,418491
1982,Alaska,449606
1983,Alaska,488417
1984,Alaska,513702
1985,Alaska,532495
1986,Alaska,544268
1987,Alaska,539309
1988,Alaska,541983
1989,Alaska,547159
1990,Alaska,553120
1991,Alaska,569273
1992,Alaska,587073
1993,Alaska,596993
1994,Alaska,600624
1995,Alaska,601345
1996,Alaska,604918
1997,Alaska,608846
1998,Alaska,615205
1999,Alaska,619500
2000,Alaska,627963
2001,Alaska,633714
2002,Alaska,642337
2003,Alaska,648414
2004,Alaska,659286
2005,Alaska,666946
2006,Alaska,675302
2007,Alaska,680300
2008,Alaska,687455
2009,Alaska,698895
2010,Alaska,713910
2011,Alaska,722128
2012,Alaska,730443
2013,Alaska,737068
2014,Alaska,736283
2015,Alaska,737498
2016,Alaska,741456
2017,Alaska,739700
2018,Alaska,735139
2019,Alaska,731545
1900,Alabama,1830000
1901,Alabama,1907000
1902,Alabama,1935000
1903,Alabama,1957000
1904,Alabama,1978000
1905,Alabama,2012000
1906,Alabama,2045000
1907,Alabama,2058000
1908,Alabama,2070000
1909,Alabama,2108000
1910,Alabama,2150000
1911,Alabama,2185000
1912,Alabama,2217000
1913,Alabama,2279000
1914,Alabama,2336000
1915,Alabama,2345000
1916,Alabama,2359000
1917,Alabama,2361000
1918,Alabama,2343000
1919,Alabama,2337000
1920,Alabama,2359000
1921,Alabama,2402000
1922,Alabama,2434000
1923,Alabama,2464000
1924,Alabama,2501000
1925,Alabama,2534000
1926,Alabama,2567000
1927,Alabama,2609000
1928,Alabama,2640000
1929,Alabama,2644000
1930,Alabama,2647000
1931,Alabama,2649000
1932,Alabama,2653000
1933,Alabama,2661000
1934,Alabama,2685000
1935,Alabama,2719000
1936,Alabama,2743000
1937,Alabama,2762000
1938,Alabama,2787000
1939,Alabama,2814000
1940,Alabama,2845000
1941,Alabama,2902000
1942,Alabama,2941000
1943,Alabama,2902000
1944,Alabama,2802000
1945,Alabama,2775000
1946,Alabama,2911000
1947,Alabama,2942000
1948,Alabama,2969000
1949,Alabama,3000000
1950,Alabama,3058000
1951,Alabama,3059000
1952,Alabama,3068000
1953,Alabama,3053000
1954,Alabama,3014000
1955,Alabama,3050000
1956,Alabama,3071000
1957,Alabama,3109000
1958,Alabama,3163000
1959,Alabama,3204000
1960,Alabama,3274000
1961,Alabama,3316000
1962,Alabama,3323000
1963,Alabama,3358000
1964,Alabama,3395000
1965,Alabama,3443000
1966,Alabama,3464000
1967,Alabama,3458000
1968,Alabama,3446000
1969,Alabama,3440000
1970,Alabama,3444354
1971,Alabama,3497076
1972,Alabama,3539400
1973,Alabama,3579780
1974,Alabama,3626499
1975,Alabama,3678814
1976,Alabama,3735139
1977,Alabama,3780403
1978,Alabama,3831836
1979,Alabama,3866248
1980,Alabama,3900368
1981,Alabama,3918531
1982,Alabama,3925266
1983,Alabama,3934102
1984,Alabama,3951820
1985,Alabama,3972523
1986,Alabama,3991569
1987,Alabama,4015264
1988,Alabama,4023844
1989,Alabama,4030222
1990,Alabama,4048508
1991,Alabama,4091025
1992,Alabama,4139269
1993,Alabama,4193114
1994,Alabama,4232965
1995,Alabama,4262731
1996,Alabama,4290403
1997,Alabama,4320281
1998,Alabama,4351037
1999,Alabama,4369862
2000,Alabama,4452173
2001,Alabama,4467634
2002,Alabama,4480089
2003,Alabama,4503491
2004,Alabama,4530729
2005,Alabama,4569805
2006,Alabama,4628981
2007,Alabama,4672840
2008,Alabama,4718206
2009,Alabama,4757938
2010,Alabama,4785437
2011,Alabama,4799069
2012,Alabama,4815588
2013,Alabama,4830081
2014,Alabama,4841799
2015,Alabama,4852347
2016,Alabama,4863525
2017,Alabama,4874486
2018,Alabama,4887681
2019,Alabama,4903185
1900,Arkansas,1314000
1901,Arkansas,1341000
1902,Arkansas,1360000
1903,Arkansas,1384000
1904,Arkansas,1419000
1905,Arkansas,1447000
1906,Arkansas,1465000
1907,Arkansas,1484000
1908,Arkansas,1513000
1909,Arkansas,1545000
1910,Arkansas,1583000
1911,Arkansas,1610000
1912,Arkansas,1636000
1913,Arkansas,1664000
1914,Arkansas,1688000
1915,Arkansas,1702000
1916,Arkansas,1719000
1917,Arkansas,1737000
1918,Arkansas,1749000
1919,Arkansas,1742000
1920,Arkansas,1756000
1921,Arkansas,1769000
1922,Arkansas,1772000
1923,Arkansas,1784000
1924,Arkansas,1800000
1925,Arkansas,1812000
1926,Arkansas,1826000
1927,Arkansas,1840000
1928,Arkansas,1847000
1929,Arkansas,1852000
1930,Arkansas,1859000
1931,Arkansas,1848000
1932,Arkansas,1836000
1933,Arkansas,1854000
1934,Arkansas,1878000
1935,Arkansas,1890000
1936,Arkansas,1892000
1937,Arkansas,1903000
1938,Arkansas,1928000
1939,Arkansas,1948000
1940,Arkansas,1955000
1941,Arkansas,1969000
1942,Arkansas,1977000
1943,Arkansas,1843000
1944,Arkansas,1768000
1945,Arkansas,1762000
1946,Arkansas,1797000
1947,Arkansas,1836000
1948,Arkansas,1825000
1949,Arkansas,1844000
1950,Arkansas,1908000
1951,Arkansas,1901000
1952,Arkansas,1838000
1953,Arkansas,1780000
1954,Arkansas,1734000
1955,Arkansas,1725000
1956,Arkansas,1704000
1957,Arkansas,1733000
1958,Arkansas,1726000
1959,Arkansas,1756000
1960,Arkansas,1789000
1961,Arkansas,1806000
1962,Arkansas,1853000
1963,Arkansas,1875000
1964,Arkansas,1897000
1965,Arkansas,1894000
1966,Arkansas,1899000
1967,Arkansas,1901000
1968,Arkansas,1902000
1969,Arkansas,1913000
1970,Arkansas,1923322
1971,Arkansas,1972312
1972,Arkansas,2018638
1973,Arkansas,2059256
1974,Arkansas,2101403
1975,Arkansas,2159526
1976,Arkansas,2170161
1977,Arkansas,2209010
1978,Arkansas,2243127
1979,Arkansas,2271333
1980,Arkansas,2288738
1981,Arkansas,2293201
1982,Arkansas,2294257
1983,Arkansas,2305761
1984,Arkansas,2319768
1985,Arkansas,2327046
1986,Arkansas,2331984
1987,Arkansas,2342355
1988,Arkansas,2342656
1989,Arkansas,2346358
1990,Arkansas,2354343
1991,Arkansas,2370666
1992,Arkansas,2394098
1993,Arkansas,2423743
1994,Arkansas,2450605
1995,Arkansas,2480121
1996,Arkansas,2504858
1997,Arkansas,2524007
1998,Arkansas,2538202
1999,Arkansas,2551373
2000,Arkansas,2678588
2001,Arkansas,2691571
2002,Arkansas,2705927
2003,Arkansas,2724816
2004,Arkansas,2749686
2005,Arkansas,2781097
2006,Arkansas,2821761
2007,Arkansas,2848650
2008,Arkansas,2874554
2009,Arkansas,2896843
2010,Arkansas,2921964
2011,Arkansas,2940667
2012,Arkansas,2952164
2013,Arkansas,2959400
2014,Arkansas,2967392
2015,Arkansas,2978048
2016,Arkansas,2989918
2017,Arkansas,3001345
2018,Arkansas,3009733
2019,Arkansas,3017804
1900,Arizona,124000
1901,Arizona,131000
1902,Arizona,138000
1903,Arizona,144000
1904,Arizona,151000
1905,Arizona,158000
1906,Arizona,167000
1907,Arizona,176000
1908,Arizona,186000
1909,Arizona,196000
1910,Arizona,206000
1911,Arizona,212000
1912,Arizona,217000
1913,Arizona,236000
1914,Arizona,253000
1915,Arizona,263000
1916,Arizona,282000
1917,Arizona,311000
1918,Arizona,320000
1919,Arizona,329000
1920,Arizona,340000
1921,Arizona,351000
1922,Arizona,360000
1923,Arizona,371000
1924,Arizona,382000
1925,Arizona,393000
1926,Arizona,403000
1927,Arizona,414000
1928,Arizona,422000
1929,Arizona,430000
1930,Arizona,434000
1931,Arizona,429000
1932,Arizona,426000
1933,Arizona,426000
1934,Arizona,428000
1935,Arizona,434000
1936,Arizona,443000
1937,Arizona,453000
1938,Arizona,466000
1939,Arizona,484000
1940,Arizona,499000
1941,Arizona,490000
1942,Arizona,524000
1943,Arizona,692000
1944,Arizona,610000
1945,Arizona,594000
1946,Arizona,616000
1947,Arizona,653000
1948,Arizona,690000
1949,Arizona,714000
1950,Arizona,756000
1951,Arizona,785000
1952,Arizona,842000
1953,Arizona,894000
1954,Arizona,933000
1955,Arizona,987000
1956,Arizona,1053000
1957,Arizona,1125000
1958,Arizona,1193000
1959,Arizona,1261000
1960,Arizona,1321000
1961,Arizona,1407000
1962,Arizona,1471000
1963,Arizona,1521000
1964,Arizona,1556000
1965,Arizona,1584000
1966,Arizona,1614000
1967,Arizona,1646000
1968,Arizona,1682000
1969,Arizona,1737000
1970,Arizona,1775399
1971,Arizona,1895814
1972,Arizona,2008291
1973,Arizona,2124438
1974,Arizona,2223196
1975,Arizona,2284847
1976,Arizona,2346157
1977,Arizona,2425197
1978,Arizona,2515316
1979,Arizona,2635571
1980,Arizona,2737774
1981,Arizona,2810107
1982,Arizona,2889861
1983,Arizona,2968925
1984,Arizona,3067135
1985,Arizona,3183538
1986,Arizona,3308262
1987,Arizona,3437103
1988,Arizona,3535183
1989,Arizona,3622185
1990,Arizona,3679056
1991,Arizona,3762394
1992,Arizona,3867333
1993,Arizona,3993390
1994,Arizona,4147561
1995,Arizona,4306908
1996,Arizona,4432308
1997,Arizona,4552207
1998,Arizona,4667277
1999,Arizona,4778332
2000,Arizona,5160586
2001,Arizona,5273477
2002,Arizona,5396255
2003,Arizona,5510364
2004,Arizona,5652404
2005,Arizona,5839077
2006,Arizona,6029141
2007,Arizona,6167681
2008,Arizona,6280362
2009,Arizona,6343154
2010,Arizona,6407172
2011,Arizona,6472643
2012,Arizona,6554978
2013,Arizona,6632764
2014,Arizona,6730413
2015,Arizona,6829676
2016,Arizona,6941072
2017,Arizona,7044008
2018,Arizona,7158024
2019,Arizona,7278717
1900,California,1490000
1901,California,1550000
1902,California,1623000
1903,California,1702000
1904,California,1792000
1905,California,1893000
1906,California,1976000
1907,California,2054000
1908,California,2161000
1909,California,2282000
1910,California,2406000
1911,California,2534000
1912,California,2668000
1913,California,2811000
1914,California,2934000
1915,California,3008000
1916,California,3071000
1917,California,3171000
1918,California,3262000
1919,California,3339000
1920,California,3554000
1921,California,3795000
1922,California,3991000
1923,California,4270000
1924,California,4541000
1925,California,4730000
1926,California,4929000
1927,California,5147000
1928,California,5344000
1929,California,5531000
1930,California,5711000
1931,California,5824000
1932,California,5894000
1933,California,5963000
1934,California,6060000
1935,California,6175000
1936,California,6341000
1937,California,6528000
1938,California,6656000
1939,California,6785000
1940,California,6950000
1941,California,7237000
1942,California,7735000
1943,California,8506000
1944,California,8945000
1945,California,9344000
1946,California,9559000
1947,California,9832000
1948,California,10064000
1949,California,10337000
1950,California,10677000
1951,California,11134000
1952,California,11635000
1953,California,12251000
1954,California,12746000
1955,California,13133000
1956,California,13713000
1957,California,14264000
1958,California,14880000
1959,California,15467000
1960,California,15870000
1961,California,16497000
1962,California,17072000
1963,California,17668000
1964,California,18151000
1965,California,18585000
1966,California,18858000
1967,California,19176000
1968,California,19394000
1969,California,19711000
1970,California,19971069
1971,California,20345939
1972,California,20585469
1973,California,20868728
1974,California,21173865
1975,California,21537849
1976,California,21935909
1977,California,22352396
1978,California,22835958
1979,California,23256880
1980,California,23800800
1981,California,24285933
1982,California,24820009
1983,California,25360026
1984,California,25844393
1985,California,26441109
1986,California,27102237
1987,California,27777158
1988,California,28464249
1989,California,29218164
1990,California,29950111
1991,California,30414114
1992,California,30875920
1993,California,31147208
1994,California,31317179
1995,California,31493525
1996,California,31780829
1997,California,32217708
1998,California,32682794
1999,California,33145121
2000,California,33987977
2001,California,34479458
2002,California,34871843
2003,California,35253159
2004,California,35574576
2005,California,35827943
2006,California,36021202
2007,California,36250311
2008,California,36604337
2009,California,36961229
2010,California,37319502
2011,California,37638369
2012,California,37948800
2013,California,38260787
2014,California,38596972
2015,California,38918045
2016,California,39167117
2017,California,39358497
2018,California,39461588
2019,California,39512223
1900,Colorado,543000
1901,Colorado,581000
1902,Colorado,621000
1903,Colorado,652000
1904,Colorado,659000
1905,Colorado,680000
1906,Colorado,707000
1907,Colorado,733000
1908,Colorado,757000
1909,Colorado,775000
1910,Colorado,804000
1911,Colorado,821000
1912,Colorado,832000
1913,Colorado,835000
1914,Colorado,846000
1915,Colorado,868000
1916,Colorado,892000
1917,Colorado,910000
1918,Colorado,906000
1919,Colorado,938000
1920,Colorado,937000
1921,Colorado,961000
1922,Colorado,965000
1923,Colorado,984000
1924,Colorado,1014000
1925,Colorado,1019000
1926,Colorado,1016000
1927,Colorado,1028000
1928,Colorado,1014000
1929,Colorado,1008000
1930,Colorado,1040000
1931,Colorado,1056000
1932,Colorado,1066000
1933,Colorado,1071000
1934,Colorado,1075000
1935,Colorado,1078000
1936,Colorado,1090000
1937,Colorado,1104000
1938,Colorado,1112000
1939,Colorado,1120000
1940,Colorado,1130000
1941,Colorado,1124000
1942,Colorado,1113000
1943,Colorado,1153000
1944,Colorado,1137000
1945,Colorado,1116000
1946,Colorado,1203000
1947,Colorado,1237000
1948,Colorado,1263000
1949,Colorado,1295000
1950,Colorado,1325000
1951,Colorado,1326000
1952,Colorado,1365000
1953,Colorado,1431000
1954,Colorado,1493000
1955,Colorado,1546000
1956,Colorado,1625000
1957,Colorado,1664000
1958,Colorado,1667000
1959,Colorado,1710000
1960,Colorado,1769000
1961,Colorado,1844000
1962,Colorado,1899000
1963,Colorado,1936000
1964,Colorado,1970000
1965,Colorado,1985000
1966,Colorado,2007000
1967,Colorado,2053000
1968,Colorado,2120000
1969,Colorado,2166000
1970,Colorado,2209596
1971,Colorado,2303524
1972,Colorado,2404619
1973,Colorado,2495868
1974,Colorado,2541406
1975,Colorado,2586192
1976,Colorado,2632306
1977,Colorado,2696140
1978,Colorado,2766748
1979,Colorado,2849234
1980,Colorado,2908803
1981,Colorado,2977898
1982,Colorado,3061564
1983,Colorado,3133630
1984,Colorado,3169992
1985,Colorado,3208723
1986,Colorado,3237450
1987,Colorado,3260480
1988,Colorado,3262281
1989,Colorado,3275818
1990,Colorado,3303862
1991,Colorado,3367567
1992,Colorado,3459995
1993,Colorado,3560884
1994,Colorado,3653910
1995,Colorado,3738061
1996,Colorado,3812716
1997,Colorado,3891293
1998,Colorado,3968967
1999,Colorado,4056133
2000,Colorado,4326921
2001,Colorado,4425687
2002,Colorado,4490406
2003,Colorado,4528732
2004,Colorado,4575013
2005,Colorado,4631888
2006,Colorado,4720423
2007,Colorado,4803868
2008,Colorado,4889730
2009,Colorado,4972195
2010,Colorado,5047349
2011,Colorado,5121108
2012,Colorado,5192647
2013,Colorado,5269035
2014,Colorado,5350101
2015,Colorado,5450623
2016,Colorado,5539215
2017,Colorado,5611885
2018,Colorado,5691287
2019,Colorado,5758736
1900,Connecticut,910000
1901,Connecticut,931000
1902,Connecticut,952000
1903,Connecticut,972000
1904,Connecticut,987000
1905,Connecticut,1010000
1906,Connecticut,1033000
1907,Connecticut,1057000
1908,Connecticut,1077000
1909,Connecticut,1097000
1910,Connecticut,1122000
1911,Connecticut,1149000
1912,Connecticut,1176000
1913,Connecticut,1208000
1914,Connecticut,1233000
1915,Connecticut,1258000
1916,Connecticut,1294000
1917,Connecticut,1327000
1918,Connecticut,1329000
1919,Connecticut,1359000
1920,Connecticut,1391000
1921,Connecticut,1415000
1922,Connecticut,1431000
1923,Connecticut,1455000
1924,Connecticut,1481000
1925,Connecticut,1506000
1926,Connecticut,1531000
1927,Connecticut,1557000
1928,Connecticut,1577000
1929,Connecticut,1594000
1930,Connecticut,1613000
1931,Connecticut,1628000
1932,Connecticut,1637000
1933,Connecticut,1642000
1934,Connecticut,1650000
1935,Connecticut,1666000
1936,Connecticut,1672000
1937,Connecticut,1678000
1938,Connecticut,1684000
1939,Connecticut,1696000
1940,Connecticut,1708000
1941,Connecticut,1746000
1942,Connecticut,1792000
1943,Connecticut,1792000
1944,Connecticut,1778000
1945,Connecticut,1769000
1946,Connecticut,1906000
1947,Connecticut,1967000
1948,Connecticut,2014000
1949,Connecticut,2032000
1950,Connecticut,2016000
1951,Connecticut,2028000
1952,Connecticut,2081000
1953,Connecticut,2168000
1954,Connecticut,2249000
1955,Connecticut,2300000
1956,Connecticut,2316000
1957,Connecticut,2359000
1958,Connecticut,2446000
1959,Connecticut,2523000
1960,Connecticut,2544000
1961,Connecticut,2586000
1962,Connecticut,2647000
1963,Connecticut,2727000
1964,Connecticut,2798000
1965,Connecticut,2857000
1966,Connecticut,2903000
1967,Connecticut,2935000
1968,Connecticut,2964000
1969,Connecticut,3000000
1970,Connecticut,3032217
1971,Connecticut,3060938
1972,Connecticut,3068699
1973,Connecticut,3067814
1974,Connecticut,3074047
1975,Connecticut,3082500
1976,Connecticut,3083335
1977,Connecticut,3085722
1978,Connecticut,3091627
1979,Connecticut,3095917
1980,Connecticut,3113174
1981,Connecticut,3128836
1982,Connecticut,3139013
1983,Connecticut,3162354
1984,Connecticut,3180014
1985,Connecticut,3201131
1986,Connecticut,3223740
1987,Connecticut,3247291
1988,Connecticut,3271953
1989,Connecticut,3283403
1990,Connecticut,3289056
1991,Connecticut,3288640
1992,Connecticut,3274997
1993,Connecticut,3272325
1994,Connecticut,3268346
1995,Connecticut,3265293
1996,Connecticut,3267030
1997,Connecticut,3268514
1998,Connecticut,3272563
1999,Connecticut,3282031
2000,Connecticut,3411777
2001,Connecticut,3432835
2002,Connecticut,3458749
2003,Connecticut,3484336
2004,Connecticut,3496094
2005,Connecticut,3506956
2006,Connecticut,3517460
2007,Connecticut,3527270
2008,Connecticut,3545579
2009,Connecticut,3561807
2010,Connecticut,3579114
2011,Connecticut,3588283
2012,Connecticut,3594547
2013,Connecticut,3594841
2014,Connecticut,3594524
2015,Connecticut,3587122
2016,Connecticut,3578141
2017,Connecticut,3573297
2018,Connecticut,3571520
2019,Connecticut,3565287
1900,DC,278000
1901,DC,285000
1902,DC,290000
1903,DC,295000
1904,DC,302000
1905,DC,308000
1906,DC,313000
1907,DC,317000
1908,DC,321000
1909,DC,327000
1910,DC,334000
1911,DC,344000
1912,DC,340000
1913,DC,358000
1914,DC,368000
1915,DC,361000
1916,DC,360000
1917,DC,385000
1918,DC,418000
1919,DC,445000
1920,DC,440000
1921,DC,446000
1922,DC,450000
1923,DC,453000
1924,DC,456000
1925,DC,461000
1926,DC,469000
1927,DC,476000
1928,DC,479000
1929,DC,483000
1930,DC,488000
1931,DC,504000
1932,DC,513000
1933,DC,529000
1934,DC,568000
1935,DC,608000
1936,DC,629000
1937,DC,616000
1938,DC,638000
1939,DC,658000
1940,DC,690000
1941,DC,764000
1942,DC,851000
1943,DC,900000
1944,DC,881000
1945,DC,876000
1946,DC,899000
1947,DC,888000
1948,DC,840000
1949,DC,807000
1950,DC,806000
1951,DC,808000
1952,DC,805000
1953,DC,810000
1954,DC,791000
1955,DC,785000
1956,DC,759000
1957,DC,763000
1958,DC,757000
1959,DC,761000
1960,DC,765000
1961,DC,778000
1962,DC,788000
1963,DC,798000
1964,DC,798000
1965,DC,797000
1966,DC,791000
1967,DC,791000
1968,DC,778000
1969,DC,762000
1970,DC,756668
1971,DC,749781
1972,DC,742241
1973,DC,731488
1974,DC,717947
1975,DC,706871
1976,DC,692295
1977,DC,677228
1978,DC,665052
1979,DC,650016
1980,DC,638284
1981,DC,636893
1982,DC,634174
1983,DC,632433
1984,DC,633382
1985,DC,634549
1986,DC,638269
1987,DC,636930
1988,DC,630432
1989,DC,624168
1990,DC,603814
1991,DC,593239
1992,DC,584183
1993,DC,576358
1994,DC,564982
1995,DC,551273
1996,DC,538273
1997,DC,528752
1998,DC,521426
1999,DC,519000
2000,DC,572046
2001,DC,574504
2002,DC,573158
2003,DC,568502
2004,DC,567754
2005,DC,567136
2006,DC,570681
2007,DC,574404
2008,DC,580236
2009,DC,592228
2010,DC,605226
2011,DC,619800
2012,DC,634924
2013,DC,650581
2014,DC,662328
2015,DC,675400
2016,DC,685815
2017,DC,694906
2018,DC,701547
2019,DC,705749
1900,Delaware,185000
1901,Delaware,187000
1902,Delaware,188000
1903,Delaware,190000
1904,Delaware,192000
1905,Delaware,194000
1906,Delaware,196000
1907,Delaware,197000
1908,Delaware,199000
1909,Delaware,201000
1910,Delaware,203000
1911,Delaware,207000
1912,Delaware,209000
1913,Delaware,213000
1914,Delaware,216000
1915,Delaware,217000
1916,Delaware,219000
1917,Delaware,222000
1918,Delaware,220000
1919,Delaware,221000
1920,Delaware,219000
1921,Delaware,216000
1922,Delaware,214000
1923,Delaware,215000
1924,Delaware,219000
1925,Delaware,222000
1926,Delaware,225000
1927,Delaware,229000
1928,Delaware,233000
1929,Delaware,236000
1930,Delaware,239000
1931,Delaware,242000
1932,Delaware,245000
1933,Delaware,248000
1934,Delaware,250000
1935,Delaware,252000
1936,Delaware,253000
1937,Delaware,254000
1938,Delaware,257000
1939,Delaware,263000
1940,Delaware,269000
1941,Delaware,275000
1942,Delaware,279000
1943,Delaware,282000
1944,Delaware,285000
1945,Delaware,286000
1946,Delaware,299000
1947,Delaware,305000
1948,Delaware,312000
1949,Delaware,316000
1950,Delaware,321000
1951,Delaware,331000
1952,Delaware,341000
1953,Delaware,351000
1954,Delaware,368000
1955,Delaware,389000
1956,Delaware,408000
1957,Delaware,426000
1958,Delaware,433000
1959,Delaware,441000
1960,Delaware,449000
1961,Delaware,461000
1962,Delaware,469000
1963,Delaware,483000
1964,Delaware,497000
1965,Delaware,507000
1966,Delaware,516000
1967,Delaware,525000
1968,Delaware,534000
1969,Delaware,540000
1970,Delaware,548104
1971,Delaware,564708
1972,Delaware,572913
1973,Delaware,577759
1974,Delaware,581418
1975,Delaware,586589
1976,Delaware,590166
1977,Delaware,591829
1978,Delaware,594776
1979,Delaware,594984
1980,Delaware,594919
1981,Delaware,595975
1982,Delaware,599148
1983,Delaware,605458
1984,Delaware,611565
1985,Delaware,618280
1986,Delaware,627559
1987,Delaware,636947
1988,Delaware,647622
1989,Delaware,658273
1990,Delaware,669063
1991,Delaware,680495
1992,Delaware,690158
1993,Delaware,699475
1994,Delaware,708416
1995,Delaware,718265
1996,Delaware,727090
1997,Delaware,735024
1998,Delaware,744066
1999,Delaware,753538
2000,Delaware,786373
2001,Delaware,795699
2002,Delaware,806169
2003,Delaware,818003
2004,Delaware,830803
2005,Delaware,845150
2006,Delaware,859268
2007,Delaware,871749
2008,Delaware,883874
2009,Delaware,891730
2010,Delaware,899593
2011,Delaware,907381
2012,Delaware,915179
2013,Delaware,923576
2014,Delaware,932487
2015,Delaware,941252
2016,Delaware,948921
2017,Delaware,956823
2018,Delaware,965479
2019,Delaware,973764
1900,Florida,530000
1901,Florida,544000
1902,Florida,565000
1903,Florida,587000
1904,Florida,599000
1905,Florida,615000
1906,Florida,628000
1907,Florida,645000
1908,Florida,684000
1909,Florida,724000
1910,Florida,756000
1911,Florida,773000
1912,Florida,801000
1913,Florida,828000
1914,Florida,871000
1915,Florida,922000
1916,Florida,924000
1917,Florida,895000
1918,Florida,865000
1919,Florida,898000
1920,Florida,962000
1921,Florida,997000
1922,Florida,1044000
1923,Florida,1097000
1924,Florida,1160000
1925,Florida,1264000
1926,Florida,1368000
1927,Florida,1418000
1928,Florida,1433000
1929,Florida,1445000
1930,Florida,1471000
1931,Florida,1493000
1932,Florida,1521000
1933,Florida,1552000
1934,Florida,1585000
1935,Florida,1613000
1936,Florida,1651000
1937,Florida,1709000
1938,Florida,1771000
1939,Florida,1836000
1940,Florida,1915000
1941,Florida,2017000
1942,Florida,2151000
1943,Florida,2451000
1944,Florida,2420000
1945,Florida,2465000
1946,Florida,2440000
1947,Florida,2528000
1948,Florida,2578000
1949,Florida,2668000
1950,Florida,2810000
1951,Florida,2980000
1952,Florida,3157000
1953,Florida,3310000
1954,Florida,3505000
1955,Florida,3747000
1956,Florida,4047000
1957,Florida,4372000
1958,Florida,4630000
1959,Florida,4808000
1960,Florida,5004000
1961,Florida,5243000
1962,Florida,5458000
1963,Florida,5628000
1964,Florida,5781000
1965,Florida,5954000
1966,Florida,6104000
1967,Florida,6242000
1968,Florida,6433000
1969,Florida,6641000
1970,Florida,6791418
1971,Florida,7158304
1972,Florida,7511463
1973,Florida,7913696
1974,Florida,8298762
1975,Florida,8518422
1976,Florida,8667379
1977,Florida,8856183
1978,Florida,9102032
1979,Florida,9426159
1980,Florida,9839835
1981,Florida,10192774
1982,Florida,10471407
1983,Florida,10749851
1984,Florida,11039925
1985,Florida,11351118
1986,Florida,11667505
1987,Florida,11997283
1988,Florida,12306395
1989,Florida,12637715
1990,Florida,13018365
1991,Florida,13289497
1992,Florida,13504775
1993,Florida,13713593
1994,Florida,13961798
1995,Florida,14185403
1996,Florida,14426911
1997,Florida,14683350
1998,Florida,14908230
1999,Florida,15111244
2000,Florida,16047515
2001,Florida,16356966
2002,Florida,16689370
2003,Florida,17004085
2004,Florida,17415318
2005,Florida,17842038
2006,Florida,18166990
2007,Florida,18367842
2008,Florida,18527305
2009,Florida,18652644
2010,Florida,18845537
2011,Florida,19053237
2012,Florida,19297822
2013,Florida,19545621
2014,Florida,19845911
2015,Florida,20209042
2016,Florida,20613477
2017,Florida,20963613
2018,Florida,21244317
2019,Florida,21477737
1900,Georgia,2220000
1901,Georgia,2263000
1902,Georgia,2305000
1903,Georgia,2346000
1904,Georgia,2387000
1905,Georgia,2427000
1906,Georgia,2466000
1907,Georgia,2505000
1908,Georgia,2543000
1909,Georgia,2580000
1910,Georgia,2618000
1911,Georgia,2644000
1912,Georgia,2676000
1913,Georgia,2733000
1914,Georgia,2776000
1915,Georgia,2810000
1916,Georgia,2856000
1917,Georgia,2885000
1918,Georgia,2941000
1919,Georgia,2870000
1920,Georgia,2926000
1921,Georgia,2965000
1922,Georgia,2965000
1923,Georgia,2954000
1924,Georgia,2920000
1925,Georgia,2883000
1926,Georgia,2869000
1927,Georgia,2891000
1928,Georgia,2903000
1929,Georgia,2903000
1930,Georgia,2910000
1931,Georgia,2924000
1932,Georgia,2935000
1933,Georgia,2950000
1934,Georgia,2964000
1935,Georgia,2955000
1936,Georgia,2978000
1937,Georgia,3037000
1938,Georgia,3091000
1939,Georgia,3120000
1940,Georgia,3119000
1941,Georgia,3179000
1942,Georgia,3209000
1943,Georgia,3245000
1944,Georgia,3176000
1945,Georgia,3119000
1946,Georgia,3242000
1947,Georgia,3272000
1948,Georgia,3259000
1949,Georgia,3325000
1950,Georgia,3458000
1951,Georgia,3531000
1952,Georgia,3584000
1953,Georgia,3558000
1954,Georgia,3602000
1955,Georgia,3636000
1956,Georgia,3701000
1957,Georgia,3766000
1958,Georgia,3804000
1959,Georgia,3868000
1960,Georgia,3956000
1961,Georgia,4015000
1962,Georgia,4086000
1963,Georgia,4172000
1964,Georgia,4258000
1965,Georgia,4332000
1966,Georgia,4379000
1967,Georgia,4408000
1968,Georgia,4482000
1969,Georgia,4551000
1970,Georgia,4587930
1971,Georgia,4711550
1972,Georgia,4809490
1973,Georgia,4910374
1974,Georgia,4999419
1975,Georgia,5064075
1976,Georgia,5132812
1977,Georgia,5219697
1978,Georgia,5295751
1979,Georgia,5401384
1980,Georgia,5486174
1981,Georgia,5568345
1982,Georgia,5649792
1983,Georgia,5728250
1984,Georgia,5834954
1985,Georgia,5962661
1986,Georgia,6084666
1987,Georgia,6208467
1988,Georgia,6316142
1989,Georgia,6411099
