state,party,year
Northern Mariana Islands,Republican,2015
Indiana,Republican,2013
Indiana,Republican,2014
Indiana,Republican,2015
Indiana,Republican,2016
Indiana,Republican,2017
North Carolina,Republican,2013
North Carolina,Republican,2014
North Carolina,Republican,2015
North Carolina,Republican,2016
Puerto Rico,Popular Democratic Party,2013
Puerto Rico,Popular Democratic Party,2014
Puerto Rico,Popular Democratic Party,2015
Puerto Rico,Popular Democratic Party,2016
Puerto Rico,Popular Democratic Party,2017
New Hampshire,Democrat,2013
New Hampshire,Democrat,2014
New Hampshire,Democrat,2015
New Hampshire,Democrat,2016
New Hampshire,Democrat,2017
Pennsylvania,Republican,2011
Pennsylvania,Republican,2012
Pennsylvania,Republican,2013
Pennsylvania,Republican,2014
Pennsylvania,Republican,2015
Alabama,Republican,2011
Alabama,Republican,2012
Alabama,Republican,2013
Alabama,Republican,2014
Alabama,Republican,2015
Alabama,Republican,2016
Alabama,Republican,2017
Tennessee,Republican,2011
Tennessee,Republican,2012
Tennessee,Republican,2013
Tennessee,Republican,2014
Tennessee,Republican,2015
Tennessee,Republican,2016
Tennessee,Republican,2017
Tennessee,Republican,2018
Tennessee,Republican,2019
Iowa,Republican,1983
Iowa,Republican,1984
Iowa,Republican,1985
Iowa,Republican,1986
Iowa,Republican,1987
Iowa,Republican,1988
Iowa,Republican,1989
Iowa,Republican,1990
Iowa,Republican,1991
Iowa,Republican,1992
Iowa,Republican,1993
Iowa,Republican,1994
Iowa,Republican,1995
Iowa,Republican,1996
Iowa,Republican,1997
Iowa,Republican,1998
Iowa,Republican,1999
Iowa,Republican,2011
Iowa,Republican,2012
Iowa,Republican,2013
Iowa,Republican,2014
Iowa,Republican,2015
Iowa,Republican,2016
Iowa,Republican,2017
South Carolina,Republican,2011
South Carolina,Republican,2012
South Carolina,Republican,2013
South Carolina,Republican,2014
South Carolina,Republican,2015
South Carolina,Republican,2016
South Carolina,Republican,2017
Ohio,Republican,2011
Ohio,Republican,2012
Ohio,Republican,2013
Ohio,Republican,2014
Ohio,Republican,2015
Ohio,Republican,2016
Ohio,Republican,2017
Ohio,Republican,2018
Ohio,Republican,2019
Oklahoma,Republican,2011
Oklahoma,Republican,2012
Oklahoma,Republican,2013
Oklahoma,Republican,2014
Oklahoma,Republican,2015
Oklahoma,Republican,2016
Oklahoma,Republican,2017
Oklahoma,Republican,2018
Oklahoma,Republican,2019
Oregon,Democrat,1995
Oregon,Democrat,1996
Oregon,Democrat,1997
Oregon,Democrat,1998
Oregon,Democrat,1999
Oregon,Democrat,2000
Oregon,Democrat,2001
Oregon,Democrat,2002
Oregon,Democrat,2003
Oregon,Democrat,2011
Oregon,Democrat,2012
Oregon,Democrat,2013
Oregon,Democrat,2014
Oregon,Democrat,2015
South Dakota,Republican,2011
South Dakota,Republican,2012
South Dakota,Republican,2013
South Dakota,Republican,2014
South Dakota,Republican,2015
South Dakota,Republican,2016
South Dakota,Republican,2017
South Dakota,Republican,2018
South Dakota,Republican,2019
Vermont,Democrat,2011
Vermont,Democrat,2012
Vermont,Democrat,2013
Vermont,Democrat,2014
Vermont,Democrat,2015
Vermont,Democrat,2016
Vermont,Democrat,2017
Maine,Republican,2011
Maine,Republican,2012
Maine,Republican,2013
Maine,Republican,2014
Maine,Republican,2015
Maine,Republican,2016
Maine,Republican,2017
Maine,Republican,2018
Maine,Republican,2019
Rhode Island,Democrat,2011
Rhode Island,Democrat,2012
Rhode Island,Democrat,2013
Rhode Island,Democrat,2014
Rhode Island,Democrat,2015
California,Democrat,2011
California,Democrat,2012
California,Democrat,2013
California,Democrat,2014
California,Democrat,2015
California,Democrat,2016
California,Democrat,2017
California,Democrat,2018
California,Democrat,2019
California,Democrat,1975
California,Democrat,1976
California,Democrat,1977
California,Democrat,1978
California,Democrat,1979
California,Democrat,1980
California,Democrat,1981
California,Democrat,1982
California,Democrat,1983
Minnesota,Democrat,2011
Minnesota,Democrat,2012
Minnesota,Democrat,2013
Minnesota,Democrat,2014
Minnesota,Democrat,2015
Minnesota,Democrat,2016
Minnesota,Democrat,2017
Minnesota,Democrat,2018
Minnesota,Democrat,2019
Nevada,Republican,2011
Nevada,Republican,2012
Nevada,Republican,2013
Nevada,Republican,2014
Nevada,Republican,2015
Nevada,Republican,2016
Nevada,Republican,2017
Nevada,Republican,2018
Nevada,Republican,2019
Wisconsin,Republican,2011
Wisconsin,Republican,2012
Wisconsin,Republican,2013
Wisconsin,Republican,2014
Wisconsin,Republican,2015
Wisconsin,Republican,2016
Wisconsin,Republican,2017
Wisconsin,Republican,2018
Wisconsin,Republican,2019
Wyoming,Republican,2011
Wyoming,Republican,2012
Wyoming,Republican,2013
Wyoming,Republican,2014
Wyoming,Republican,2015
Wyoming,Republican,2016
Wyoming,Republican,2017
Wyoming,Republican,2018
Wyoming,Republican,2019
Michigan,Republican,2011
Michigan,Republican,2012
Michigan,Republican,2013
Michigan,Republican,2014
Michigan,Republican,2015
Michigan,Republican,2016
Michigan,Republican,2017
Michigan,Republican,2018
Michigan,Republican,2019
New Mexico,Republican,2011
New Mexico,Republican,2012
New Mexico,Republican,2013
New Mexico,Republican,2014
New Mexico,Republican,2015
New Mexico,Republican,2016
New Mexico,Republican,2017
New Mexico,Republican,2018
New Mexico,Republican,2019
North Dakota,,2010
North Dakota,,2011
North Dakota,,2012
North Dakota,,2013
North Dakota,,2014
North Dakota,,2015
North Dakota,,2016
Hawaii,Democrat,2010
Hawaii,Democrat,2011
Hawaii,Democrat,2012
Hawaii,Democrat,2013
Hawaii,Democrat,2014
New Jersey,Republican,2010
New Jersey,Republican,2011
New Jersey,Republican,2012
New Jersey,Republican,2013
New Jersey,Republican,2014
New Jersey,Republican,2015
New Jersey,Republican,2016
New Jersey,Republican,2017
New Jersey,Republican,2018
Virginia,Republican,2010
Virginia,Republican,2011
Virginia,Republican,2012
Virginia,Republican,2013
Virginia,Republican,2014
Alaska,Republican,2009
Alaska,Republican,2010
Alaska,Republican,2011
Alaska,Republican,2012
Alaska,Republican,2013
Alaska,Republican,2014
Kansas,Democrat,2009
Kansas,Democrat,2010
Kansas,Democrat,2011
Illinois,Democrat,2009
Illinois,Democrat,2010
Illinois,Democrat,2011
Illinois,Democrat,2012
Illinois,Democrat,2013
Illinois,Democrat,2014
Illinois,Democrat,2015
Arizona,Republican,2009
Arizona,Republican,2010
Arizona,Republican,2011
Arizona,Republican,2012
Arizona,Republican,2013
Arizona,Republican,2014
Arizona,Republican,2015
Delaware,Democrat,2009
Delaware,Democrat,2010
Delaware,Democrat,2011
Delaware,Democrat,2012
Delaware,Democrat,2013
Delaware,Democrat,2014
Delaware,Democrat,2015
Delaware,Democrat,2016
Delaware,Democrat,2017
Missouri,Democrat,2009
Missouri,Democrat,2010
Missouri,Democrat,2011
Missouri,Democrat,2012
Missouri,Democrat,2013
Missouri,Democrat,2014
Missouri,Democrat,2015
Missouri,Democrat,2016
Missouri,Democrat,2017
North Carolina,Democrat,2009
North Carolina,Democrat,2010
North Carolina,Democrat,2011
North Carolina,Democrat,2012
North Carolina,Democrat,2013
Puerto Rico,New Progressive Party (Puerto Rico),2009
Puerto Rico,New Progressive Party (Puerto Rico),2010
Puerto Rico,New Progressive Party (Puerto Rico),2011
Puerto Rico,New Progressive Party (Puerto Rico),2012
Puerto Rico,New Progressive Party (Puerto Rico),2013
New York,Democrat,2008
New York,Democrat,2009
New York,Democrat,2010
New York,Democrat,2011
Louisiana,Republican,2008
Louisiana,Republican,2009
Louisiana,Republican,2010
Louisiana,Republican,2011
Louisiana,Republican,2012
Louisiana,Republican,2013
Louisiana,Republican,2014
Louisiana,Republican,2015
Louisiana,Republican,2016
Kentucky,Democrat,2007
Kentucky,Democrat,2008
Kentucky,Democrat,2009
Kentucky,Democrat,2010
Kentucky,Democrat,2011
Kentucky,Democrat,2012
Kentucky,Democrat,2013
Kentucky,Democrat,2014
Kentucky,Democrat,2015
Maryland,Democrat,2007
Maryland,Democrat,2008
Maryland,Democrat,2009
Maryland,Democrat,2010
Maryland,Democrat,2011
Maryland,Democrat,2012
Maryland,Democrat,2013
Maryland,Democrat,2014
Maryland,Democrat,2015
Iowa,Democrat,2007
Iowa,Democrat,2008
Iowa,Democrat,2009
Iowa,Democrat,2010
Iowa,Democrat,2011
Colorado,Democrat,2007
Colorado,Democrat,2008
Colorado,Democrat,2009
Colorado,Democrat,2010
Colorado,Democrat,2011
Arkansas,Democrat,2007
Arkansas,Democrat,2008
Arkansas,Democrat,2009
Arkansas,Democrat,2010
Arkansas,Democrat,2011
Arkansas,Democrat,2012
Arkansas,Democrat,2013
Arkansas,Democrat,2014
Arkansas,Democrat,2015
Ohio,Democrat,2007
Ohio,Democrat,2008
Ohio,Democrat,2009
Ohio,Democrat,2010
Ohio,Democrat,2011
Massachusetts,Democrat,2007
Massachusetts,Democrat,2008
Massachusetts,Democrat,2009
Massachusetts,Democrat,2010
Massachusetts,Democrat,2011
Massachusetts,Democrat,2012
Massachusetts,Democrat,2013
Massachusetts,Democrat,2014
Massachusetts,Democrat,2015
Florida,Republican,2007
Florida,Republican,2008
Florida,Republican,2009
Florida,Republican,2010
Florida,Republican,2011
Idaho,Republican,2007
Idaho,Republican,2008
Idaho,Republican,2009
Idaho,Republican,2010
Idaho,Republican,2011
Idaho,Republican,2012
Idaho,Republican,2013
Idaho,Republican,2014
Idaho,Republican,2015
Idaho,Republican,2016
Idaho,Republican,2017
Idaho,Republican,2018
Idaho,Republican,2019
Virgin Islands,Democrat,2007
Virgin Islands,Democrat,2008
Virgin Islands,Democrat,2009
Virgin Islands,Democrat,2010
Virgin Islands,Democrat,2011
Virgin Islands,Democrat,2012
Virgin Islands,Democrat,2013
Virgin Islands,Democrat,2014
Virgin Islands,Democrat,2015
New York,Democrat,2007
New York,Democrat,2008
Nevada,Republican,2007
Nevada,Republican,2008
Nevada,Republican,2009
Nevada,Republican,2010
Nevada,Republican,2011
Alaska,Republican,2006
Alaska,Republican,2007
Alaska,Republican,2008
Alaska,Republican,2009
Idaho,Republican,2006
Idaho,Republican,2007
New Jersey,Democrat,2006
New Jersey,Democrat,2007
New Jersey,Democrat,2008
New Jersey,Democrat,2009
New Jersey,Democrat,2010
Virginia,Democrat,2006
Virginia,Democrat,2007
Virginia,Democrat,2008
Virginia,Democrat,2009
Virginia,Democrat,2010
Northern Mariana Islands,Republican,2006
Northern Mariana Islands,Republican,2007
Northern Mariana Islands,Republican,2008
Northern Mariana Islands,Republican,2009
Northern Mariana Islands,Republican,2010
Northern Mariana Islands,Republican,2011
Northern Mariana Islands,Republican,2012
Northern Mariana Islands,Republican,2013
Nebraska,Republican,2005
Nebraska,Republican,2006
Nebraska,Republican,2007
Nebraska,Republican,2008
Nebraska,Republican,2009
Nebraska,Republican,2010
Nebraska,Republican,2011
Nebraska,Republican,2012
Nebraska,Republican,2013
Nebraska,Republican,2014
Nebraska,Republican,2015
West Virginia,Democrat,2005
West Virginia,Democrat,2006
West Virginia,Democrat,2007
West Virginia,Democrat,2008
West Virginia,Democrat,2009
West Virginia,Democrat,2010
Washington,Democrat,2005
Washington,Democrat,2006
Washington,Democrat,2007
Washington,Democrat,2008
Washington,Democrat,2009
Washington,Democrat,2010
Washington,Democrat,2011
Washington,Democrat,2012
Washington,Democrat,2013
Missouri,Republican,2005
Missouri,Republican,2006
Missouri,Republican,2007
Missouri,Republican,2008
Missouri,Republican,2009
Indiana,Republican,2005
Indiana,Republican,2006
Indiana,Republican,2007
Indiana,Republican,2008
Indiana,Republican,2009
Indiana,Republican,2010
Indiana,Republican,2011
Indiana,Republican,2012
Indiana,Republican,2013
New Hampshire,Democrat,2005
New Hampshire,Democrat,2006
New Hampshire,Democrat,2007
New Hampshire,Democrat,2008
New Hampshire,Democrat,2009
New Hampshire,Democrat,2010
New Hampshire,Democrat,2011
New Hampshire,Democrat,2012
New Hampshire,Democrat,2013
Utah,Republican,2005
Utah,Republican,2006
Utah,Republican,2007
Utah,Republican,2008
Utah,Republican,2009
Puerto Rico,Popular Democratic Party,2005
Puerto Rico,Popular Democratic Party,2006
Puerto Rico,Popular Democratic Party,2007
Puerto Rico,Popular Democratic Party,2008
Puerto Rico,Popular Democratic Party,2009
Montana,Democrat,2005
Montana,Democrat,2006
Montana,Democrat,2007
Montana,Democrat,2008
Montana,Democrat,2009
Montana,Democrat,2010
Montana,Democrat,2011
Montana,Democrat,2012
Montana,Democrat,2013
Connecticut,Republican,2004
Connecticut,Republican,2005
Connecticut,Republican,2006
Connecticut,Republican,2007
Connecticut,Republican,2008
Connecticut,Republican,2009
Connecticut,Republican,2010
Connecticut,Republican,2011
Louisiana,Democrat,2004
Louisiana,Democrat,2005
Louisiana,Democrat,2006
Louisiana,Democrat,2007
Louisiana,Democrat,2008
Mississippi,Republican,2004
Mississippi,Republican,2005
Mississippi,Republican,2006
Mississippi,Republican,2007
Mississippi,Republican,2008
Mississippi,Republican,2009
Mississippi,Republican,2010
Mississippi,Republican,2011
Mississippi,Republican,2012
Kentucky,Republican,2003
Kentucky,Republican,2004
Kentucky,Republican,2005
Kentucky,Republican,2006
Kentucky,Republican,2007
California,Republican,2003
California,Republican,2004
California,Republican,2005
California,Republican,2006
California,Republican,2007
California,Republican,2008
California,Republican,2009
California,Republican,2010
California,Republican,2011
Utah,Republican,2003
Utah,Republican,2004
Utah,Republican,2005
Indiana,Democrat,2003
Indiana,Democrat,2004
Indiana,Democrat,2005
American Samoa,Democrat,2003
American Samoa,Democrat,2004
American Samoa,Democrat,2005
American Samoa,Democrat,2006
American Samoa,Democrat,2007
American Samoa,Democrat,2008
American Samoa,Democrat,2009
American Samoa,Democrat,2010
American Samoa,Democrat,2011
American Samoa,Democrat,2012
American Samoa,Democrat,2013
Pennsylvania,Democrat,2003
Pennsylvania,Democrat,2004
Pennsylvania,Democrat,2005
Pennsylvania,Democrat,2006
Pennsylvania,Democrat,2007
Pennsylvania,Democrat,2008
Pennsylvania,Democrat,2009
Pennsylvania,Democrat,2010
Pennsylvania,Democrat,2011
Alabama,Republican,2003
Alabama,Republican,2004
Alabama,Republican,2005
Alabama,Republican,2006
Alabama,Republican,2007
Alabama,Republican,2008
Alabama,Republican,2009
Alabama,Republican,2010
Alabama,Republican,2011
Tennessee,Democrat,2003
Tennessee,Democrat,2004
Tennessee,Democrat,2005
Tennessee,Democrat,2006
Tennessee,Democrat,2007
Tennessee,Democrat,2008
Tennessee,Democrat,2009
Tennessee,Democrat,2010
Tennessee,Democrat,2011
South Carolina,Republican,2003
South Carolina,Republican,2004
South Carolina,Republican,2005
South Carolina,Republican,2006
South Carolina,Republican,2007
South Carolina,Republican,2008
South Carolina,Republican,2009
South Carolina,Republican,2010
South Carolina,Republican,2011
Maryland,Republican,2003
Maryland,Republican,2004
Maryland,Republican,2005
Maryland,Republican,2006
Maryland,Republican,2007
Georgia,Republican,2003
Georgia,Republican,2004
Georgia,Republican,2005
Georgia,Republican,2006
Georgia,Republican,2007
Georgia,Republican,2008
Georgia,Republican,2009
Georgia,Republican,2010
Georgia,Republican,2011
Illinois,Democrat,2003
Illinois,Democrat,2004
Illinois,Democrat,2005
Illinois,Democrat,2006
Illinois,Democrat,2007
Illinois,Democrat,2008
Illinois,Democrat,2009
Oklahoma,Democrat,2003
Oklahoma,Democrat,2004
Oklahoma,Democrat,2005
Oklahoma,Democrat,2006
Oklahoma,Democrat,2007
Oklahoma,Democrat,2008
Oklahoma,Democrat,2009
Oklahoma,Democrat,2010
Oklahoma,Democrat,2011
Oregon,Democrat,2003
Oregon,Democrat,2004
Oregon,Democrat,2005
Oregon,Democrat,2006
Oregon,Democrat,2007
Oregon,Democrat,2008
Oregon,Democrat,2009
Oregon,Democrat,2010
Oregon,Democrat,2011
New Hampshire,Republican,2003
New Hampshire,Republican,2004
New Hampshire,Republican,2005
Kansas,Democrat,2003
Kansas,Democrat,2004
Kansas,Democrat,2005
Kansas,Democrat,2006
Kansas,Democrat,2007
Kansas,Democrat,2008
Kansas,Democrat,2009
Vermont,Republican,2003
Vermont,Republican,2004
Vermont,Republican,2005
Vermont,Republican,2006
Vermont,Republican,2007
Vermont,Republican,2008
Vermont,Republican,2009
Vermont,Republican,2010
Vermont,Republican,2011
Maine,Democrat,2003
Maine,Democrat,2004
Maine,Democrat,2005
Maine,Democrat,2006
Maine,Democrat,2007
Maine,Democrat,2008
Maine,Democrat,2009
Maine,Democrat,2010
Maine,Democrat,2011
South Dakota,Republican,2003
South Dakota,Republican,2004
South Dakota,Republican,2005
South Dakota,Republican,2006
South Dakota,Republican,2007
South Dakota,Republican,2008
South Dakota,Republican,2009
South Dakota,Republican,2010
South Dakota,Republican,2011
Rhode Island,Republican,2003
Rhode Island,Republican,2004
Rhode Island,Republican,2005
Rhode Island,Republican,2006
Rhode Island,Republican,2007
Rhode Island,Republican,2008
Rhode Island,Republican,2009
Rhode Island,Republican,2010
Rhode Island,Republican,2011
Arizona,Democrat,2003
Arizona,Democrat,2004
Arizona,Democrat,2005
Arizona,Democrat,2006
Arizona,Democrat,2007
Arizona,Democrat,2008
Arizona,Democrat,2009
Wyoming,Democrat,2003
Wyoming,Democrat,2004
Wyoming,Democrat,2005
Wyoming,Democrat,2006
Wyoming,Democrat,2007
Wyoming,Democrat,2008
Wyoming,Democrat,2009
Wyoming,Democrat,2010
Wyoming,Democrat,2011
Wisconsin,Democrat,2003
Wisconsin,Democrat,2004
Wisconsin,Democrat,2005
Wisconsin,Democrat,2006
Wisconsin,Democrat,2007
Wisconsin,Democrat,2008
Wisconsin,Democrat,2009
Wisconsin,Democrat,2010
Wisconsin,Democrat,2011
Minnesota,Republican,2003
Minnesota,Republican,2004
Minnesota,Republican,2005
Minnesota,Republican,2006
Minnesota,Republican,2007
Minnesota,Republican,2008
Minnesota,Republican,2009
Minnesota,Republican,2010
Minnesota,Republican,2011
Guam,Republican,2003
Guam,Republican,2004
Guam,Republican,2005
Guam,Republican,2006
Guam,Republican,2007
Guam,Republican,2008
Guam,Republican,2009
Guam,Republican,2010
Guam,Republican,2011
New Mexico,Democrat,2003
New Mexico,Democrat,2004
New Mexico,Democrat,2005
New Mexico,Democrat,2006
New Mexico,Democrat,2007
New Mexico,Democrat,2008
New Mexico,Democrat,2009
New Mexico,Democrat,2010
New Mexico,Democrat,2011
Michigan,Democrat,2003
Michigan,Democrat,2004
Michigan,Democrat,2005
Michigan,Democrat,2006
Michigan,Democrat,2007
Michigan,Democrat,2008
Michigan,Democrat,2009
Michigan,Democrat,2010
Michigan,Democrat,2011
Massachusetts,Republican,2003
Massachusetts,Republican,2004
Massachusetts,Republican,2005
Massachusetts,Republican,2006
Massachusetts,Republican,2007
Hawaii,Republican,2002
Hawaii,Republican,2003
Hawaii,Republican,2004
Hawaii,Republican,2005
Hawaii,Republican,2006
Hawaii,Republican,2007
Hawaii,Republican,2008
Hawaii,Republican,2009
Hawaii,Republican,2010
Alaska,Republican,2002
Alaska,Republican,2003
Alaska,Republican,2004
Alaska,Republican,2005
Alaska,Republican,2006
New Jersey,Democrat,2002
New Jersey,Democrat,2003
New Jersey,Democrat,2004
Northern Mariana Islands,Republican,2002
Northern Mariana Islands,Republican,2003
Northern Mariana Islands,Republican,2004
Northern Mariana Islands,Republican,2005
Northern Mariana Islands,Republican,2006
Virginia,Democrat,2002
Virginia,Democrat,2003
Virginia,Democrat,2004
Virginia,Democrat,2005
Virginia,Democrat,2006
New Jersey,Democrat,2002
New Jersey,Republican,2002
Pennsylvania,Republican,2001
Pennsylvania,Republican,2002
Pennsylvania,Republican,2003
Massachusetts,Republican,2001
Massachusetts,Republican,2002
Massachusetts,Republican,2003
Wisconsin,Republican,2001
Wisconsin,Republican,2002
Wisconsin,Republican,2003
New Jersey,Republican,2001
New Jersey,Republican,2002
West Virginia,Democrat,2001
West Virginia,Democrat,2002
West Virginia,Democrat,2003
West Virginia,Democrat,2004
West Virginia,Democrat,2005
Missouri,Democrat,2001
Missouri,Democrat,2002
Missouri,Democrat,2003
Missouri,Democrat,2004
Missouri,Democrat,2005
Delaware,Democrat,2001
Delaware,Democrat,2002
Delaware,Democrat,2003
Delaware,Democrat,2004
Delaware,Democrat,2005
Delaware,Democrat,2006
Delaware,Democrat,2007
Delaware,Democrat,2008
Delaware,Democrat,2009
Puerto Rico,Popular Democratic Party,2001
Puerto Rico,Popular Democratic Party,2002
Puerto Rico,Popular Democratic Party,2003
Puerto Rico,Popular Democratic Party,2004
Puerto Rico,Popular Democratic Party,2005
North Carolina,Democrat,2001
North Carolina,Democrat,2002
North Carolina,Democrat,2003
North Carolina,Democrat,2004
North Carolina,Democrat,2005
North Carolina,Democrat,2006
North Carolina,Democrat,2007
North Carolina,Democrat,2008
North Carolina,Democrat,2009
Montana,Republican,2001
Montana,Republican,2002
Montana,Republican,2003
Montana,Republican,2004
Montana,Republican,2005
Texas,Republican,2000
Texas,Republican,2001
Texas,Republican,2002
Texas,Republican,2003
Texas,Republican,2004
Texas,Republican,2005
Texas,Republican,2006
Texas,Republican,2007
Texas,Republican,2008
Texas,Republican,2009
Texas,Republican,2010
Texas,Republican,2011
Texas,Republican,2012
Texas,Republican,2013
Texas,Republican,2014
Texas,Republican,2015
North Dakota,Republican,2000
North Dakota,Republican,2001
North Dakota,Republican,2002
North Dakota,Republican,2003
North Dakota,Republican,2004
North Dakota,Republican,2005
North Dakota,Republican,2006
North Dakota,Republican,2007
North Dakota,Republican,2008
North Dakota,Republican,2009
North Dakota,Republican,2010
Missouri,Democrat,2000
Missouri,Democrat,2001
Mississippi,Democrat,2000
Mississippi,Democrat,2001
Mississippi,Democrat,2002
Mississippi,Democrat,2003
Mississippi,Democrat,2004
Alabama,Democrat,1999
Alabama,Democrat,2000
Alabama,Democrat,2001
Alabama,Democrat,2002
Alabama,Democrat,2003
Iowa,Democrat,1999
Iowa,Democrat,2000
Iowa,Democrat,2001
Iowa,Democrat,2002
Iowa,Democrat,2003
Iowa,Democrat,2004
Iowa,Democrat,2005
Iowa,Democrat,2006
Iowa,Democrat,2007
Colorado,Republican,1999
Colorado,Republican,2000
Colorado,Republican,2001
Colorado,Republican,2002
Colorado,Republican,2003
Colorado,Republican,2004
Colorado,Republican,2005
Colorado,Republican,2006
Colorado,Republican,2007
Georgia,Democrat,1999
Georgia,Democrat,2000
Georgia,Democrat,2001
Georgia,Democrat,2002
Georgia,Democrat,2003
Illinois,Republican,1999
Illinois,Republican,2000
Illinois,Republican,2001
Illinois,Republican,2002
Illinois,Republican,2003
Idaho,Republican,1999
Idaho,Republican,2000
Idaho,Republican,2001
Idaho,Republican,2002
Idaho,Republican,2003
Idaho,Republican,2004
Idaho,Republican,2005
Idaho,Republican,2006
Nebraska,Republican,1999
Nebraska,Republican,2000
Nebraska,Republican,2001
Nebraska,Republican,2002
Nebraska,Republican,2003
Nebraska,Republican,2004
Nebraska,Republican,2005
Florida,Republican,1999
Florida,Republican,2000
Florida,Republican,2001
Florida,Republican,2002
Florida,Republican,2003
Florida,Republican,2004
Florida,Republican,2005
Florida,Republican,2006
Florida,Republican,2007
Nevada,Republican,1999
Nevada,Republican,2000
Nevada,Republican,2001
Nevada,Republican,2002
Nevada,Republican,2003
Nevada,Republican,2004
Nevada,Republican,2005
Nevada,Republican,2006
Nevada,Republican,2007
Minnesota,Independent,1999
Minnesota,Independent,2000
Minnesota,Independent,2001
Minnesota,Independent,2002
Minnesota,Independent,2003
Virgin Islands,Democrat,1999
Virgin Islands,Democrat,2000
Virgin Islands,Democrat,2001
Virgin Islands,Democrat,2002
Virgin Islands,Democrat,2003
Virgin Islands,Democrat,2004
Virgin Islands,Democrat,2005
Virgin Islands,Democrat,2006
Virgin Islands,Democrat,2007
California,Democrat,1999
California,Democrat,2000
California,Democrat,2001
California,Democrat,2002
California,Democrat,2003
Ohio,Republican,1999
Ohio,Republican,2000
Ohio,Republican,2001
Ohio,Republican,2002
Ohio,Republican,2003
Ohio,Republican,2004
Ohio,Republican,2005
Ohio,Republican,2006
Ohio,Republican,2007
South Carolina,Democrat,1999
South Carolina,Democrat,2000
South Carolina,Democrat,2001
South Carolina,Democrat,2002
South Carolina,Democrat,2003
Ohio,Republican,1998
Ohio,Republican,1999
Florida,Democrat,1998
Florida,Democrat,1999
Virginia,Republican,1998
Virginia,Republican,1999
Virginia,Republican,2000
Virginia,Republican,2001
Virginia,Republican,2002
Northern Mariana Islands,Republican,1998
Northern Mariana Islands,Republican,1999
Northern Mariana Islands,Republican,2000
Northern Mariana Islands,Republican,2001
Northern Mariana Islands,Republican,2002
Northern Mariana Islands,Republican,1982
Northern Mariana Islands,Republican,1983
Northern Mariana Islands,Republican,1984
Northern Mariana Islands,Republican,1985
Northern Mariana Islands,Republican,1986
Northern Mariana Islands,Republican,1987
Northern Mariana Islands,Republican,1988
Northern Mariana Islands,Republican,1989
Northern Mariana Islands,Republican,1990
Arizona,Republican,1997
Arizona,Republican,1998
Arizona,Republican,1999
Arizona,Republican,2000
Arizona,Republican,2001
Arizona,Republican,2002
Arizona,Republican,2003
