state,party,year
Guam,0.0,2011
Guam,0.0,2012
Guam,0.0,2013
Guam,0.0,2014
Guam,0.0,2015
Virginia,1.0,2014
Virginia,1.0,2015
Virginia,1.0,2016
Virginia,1.0,2017
Virginia,1.0,2018
Northern Mariana Islands,0.0,2013
Northern Mariana Islands,0.0,2014
Northern Mariana Islands,0.0,2015
Indiana,0.0,2013
Indiana,0.0,2014
Indiana,0.0,2015
Indiana,0.0,2016
Indiana,0.0,2017
North Carolina,0.0,2013
North Carolina,0.0,2014
North Carolina,0.0,2015
North Carolina,0.0,2016
New Hampshire,1.0,2013
New Hampshire,1.0,2014
New Hampshire,1.0,2015
New Hampshire,1.0,2016
New Hampshire,1.0,2017
Pennsylvania,0.0,2011
Pennsylvania,0.0,2012
Pennsylvania,0.0,2013
Pennsylvania,0.0,2014
Pennsylvania,0.0,2015
Alabama,0.0,2011
Alabama,0.0,2012
Alabama,0.0,2013
Alabama,0.0,2014
Alabama,0.0,2015
Alabama,0.0,2016
Alabama,0.0,2017
Tennessee,0.0,2011
Tennessee,0.0,2012
Tennessee,0.0,2013
Tennessee,0.0,2014
Tennessee,0.0,2015
Tennessee,0.0,2016
Tennessee,0.0,2017
Tennessee,0.0,2018
Tennessee,0.0,2019
Iowa,0.0,1983
Iowa,0.0,1984
Iowa,0.0,1985
Iowa,0.0,1986
Iowa,0.0,1987
Iowa,0.0,1988
Iowa,0.0,1989
Iowa,0.0,1990
Iowa,0.0,1991
Iowa,0.0,1992
Iowa,0.0,1993
Iowa,0.0,1994
Iowa,0.0,1995
Iowa,0.0,1996
Iowa,0.0,1997
Iowa,0.0,1998
Iowa,0.0,1999
Iowa,0.0,2011
Iowa,0.0,2012
Iowa,0.0,2013
Iowa,0.0,2014
Iowa,0.0,2015
Iowa,0.0,2016
Iowa,0.0,2017
South Carolina,0.0,2011
South Carolina,0.0,2012
South Carolina,0.0,2013
South Carolina,0.0,2014
South Carolina,0.0,2015
South Carolina,0.0,2016
South Carolina,0.0,2017
Ohio,0.0,2011
Ohio,0.0,2012
Ohio,0.0,2013
Ohio,0.0,2014
Ohio,0.0,2015
Ohio,0.0,2016
Ohio,0.0,2017
Ohio,0.0,2018
Ohio,0.0,2019
Oklahoma,0.0,2011
Oklahoma,0.0,2012
Oklahoma,0.0,2013
Oklahoma,0.0,2014
Oklahoma,0.0,2015
Oklahoma,0.0,2016
Oklahoma,0.0,2017
Oklahoma,0.0,2018
Oklahoma,0.0,2019
Oregon,1.0,1995
Oregon,1.0,1996
Oregon,1.0,1997
Oregon,1.0,1998
Oregon,1.0,1999
Oregon,1.0,2000
Oregon,1.0,2001
Oregon,1.0,2002
Oregon,1.0,2003
Oregon,1.0,2011
Oregon,1.0,2012
Oregon,1.0,2013
Oregon,1.0,2014
Oregon,1.0,2015
South Dakota,0.0,2011
South Dakota,0.0,2012
South Dakota,0.0,2013
South Dakota,0.0,2014
South Dakota,0.0,2015
South Dakota,0.0,2016
South Dakota,0.0,2017
South Dakota,0.0,2018
South Dakota,0.0,2019
Vermont,1.0,2011
Vermont,1.0,2012
Vermont,1.0,2013
Vermont,1.0,2014
Vermont,1.0,2015
Vermont,1.0,2016
Vermont,1.0,2017
Maine,0.0,2011
Maine,0.0,2012
Maine,0.0,2013
Maine,0.0,2014
Maine,0.0,2015
Maine,0.0,2016
Maine,0.0,2017
Maine,0.0,2018
Maine,0.0,2019
Rhode Island,1.0,2011
Rhode Island,1.0,2012
Rhode Island,1.0,2013
Rhode Island,1.0,2014
Rhode Island,1.0,2015
California,1.0,2011
California,1.0,2012
California,1.0,2013
California,1.0,2014
California,1.0,2015
California,1.0,2016
California,1.0,2017
California,1.0,2018
California,1.0,2019
California,1.0,1975
California,1.0,1976
California,1.0,1977
California,1.0,1978
California,1.0,1979
California,1.0,1980
California,1.0,1981
California,1.0,1982
California,1.0,1983
Minnesota,1.0,2011
Minnesota,1.0,2012
Minnesota,1.0,2013
Minnesota,1.0,2014
Minnesota,1.0,2015
Minnesota,1.0,2016
Minnesota,1.0,2017
Minnesota,1.0,2018
Minnesota,1.0,2019
Nevada,0.0,2011
Nevada,0.0,2012
Nevada,0.0,2013
Nevada,0.0,2014
Nevada,0.0,2015
Nevada,0.0,2016
Nevada,0.0,2017
Nevada,0.0,2018
Nevada,0.0,2019
Wisconsin,0.0,2011
Wisconsin,0.0,2012
Wisconsin,0.0,2013
Wisconsin,0.0,2014
Wisconsin,0.0,2015
Wisconsin,0.0,2016
Wisconsin,0.0,2017
Wisconsin,0.0,2018
Wisconsin,0.0,2019
Wyoming,0.0,2011
Wyoming,0.0,2012
Wyoming,0.0,2013
Wyoming,0.0,2014
Wyoming,0.0,2015
Wyoming,0.0,2016
Wyoming,0.0,2017
Wyoming,0.0,2018
Wyoming,0.0,2019
Michigan,0.0,2011
Michigan,0.0,2012
Michigan,0.0,2013
Michigan,0.0,2014
Michigan,0.0,2015
Michigan,0.0,2016
Michigan,0.0,2017
Michigan,0.0,2018
Michigan,0.0,2019
New Mexico,0.0,2011
New Mexico,0.0,2012
New Mexico,0.0,2013
New Mexico,0.0,2014
New Mexico,0.0,2015
New Mexico,0.0,2016
New Mexico,0.0,2017
New Mexico,0.0,2018
New Mexico,0.0,2019
Hawaii,1.0,2010
Hawaii,1.0,2011
Hawaii,1.0,2012
Hawaii,1.0,2013
Hawaii,1.0,2014
New Jersey,0.0,2010
New Jersey,0.0,2011
New Jersey,0.0,2012
New Jersey,0.0,2013
New Jersey,0.0,2014
New Jersey,0.0,2015
New Jersey,0.0,2016
New Jersey,0.0,2017
New Jersey,0.0,2018
Virginia,0.0,2010
Virginia,0.0,2011
Virginia,0.0,2012
Virginia,0.0,2013
Virginia,0.0,2014
Alaska,0.0,2009
Alaska,0.0,2010
Alaska,0.0,2011
Alaska,0.0,2012
Alaska,0.0,2013
Alaska,0.0,2014
Kansas,1.0,2009
Kansas,1.0,2010
Kansas,1.0,2011
Illinois,1.0,2009
Illinois,1.0,2010
Illinois,1.0,2011
Illinois,1.0,2012
Illinois,1.0,2013
Illinois,1.0,2014
Illinois,1.0,2015
Arizona,0.0,2009
Arizona,0.0,2010
Arizona,0.0,2011
Arizona,0.0,2012
Arizona,0.0,2013
Arizona,0.0,2014
Arizona,0.0,2015
Delaware,1.0,2009
Delaware,1.0,2010
Delaware,1.0,2011
Delaware,1.0,2012
Delaware,1.0,2013
Delaware,1.0,2014
Delaware,1.0,2015
Delaware,1.0,2016
Delaware,1.0,2017
Missouri,1.0,2009
Missouri,1.0,2010
Missouri,1.0,2011
Missouri,1.0,2012
Missouri,1.0,2013
Missouri,1.0,2014
Missouri,1.0,2015
Missouri,1.0,2016
Missouri,1.0,2017
North Carolina,1.0,2009
North Carolina,1.0,2010
North Carolina,1.0,2011
North Carolina,1.0,2012
North Carolina,1.0,2013
New York,1.0,2008
New York,1.0,2009
New York,1.0,2010
New York,1.0,2011
Louisiana,0.0,2008
Louisiana,0.0,2009
Louisiana,0.0,2010
Louisiana,0.0,2011
Louisiana,0.0,2012
Louisiana,0.0,2013
Louisiana,0.0,2014
Louisiana,0.0,2015
Louisiana,0.0,2016
Kentucky,1.0,2007
Kentucky,1.0,2008
Kentucky,1.0,2009
Kentucky,1.0,2010
Kentucky,1.0,2011
Kentucky,1.0,2012
Kentucky,1.0,2013
Kentucky,1.0,2014
Kentucky,1.0,2015
Maryland,1.0,2007
Maryland,1.0,2008
Maryland,1.0,2009
Maryland,1.0,2010
Maryland,1.0,2011
Maryland,1.0,2012
Maryland,1.0,2013
Maryland,1.0,2014
Maryland,1.0,2015
Iowa,1.0,2007
Iowa,1.0,2008
Iowa,1.0,2009
Iowa,1.0,2010
Iowa,1.0,2011
Colorado,1.0,2007
Colorado,1.0,2008
Colorado,1.0,2009
Colorado,1.0,2010
Colorado,1.0,2011
Arkansas,1.0,2007
Arkansas,1.0,2008
Arkansas,1.0,2009
Arkansas,1.0,2010
Arkansas,1.0,2011
Arkansas,1.0,2012
Arkansas,1.0,2013
Arkansas,1.0,2014
Arkansas,1.0,2015
Ohio,1.0,2007
Ohio,1.0,2008
Ohio,1.0,2009
Ohio,1.0,2010
Ohio,1.0,2011
Massachusetts,1.0,2007
Massachusetts,1.0,2008
Massachusetts,1.0,2009
Massachusetts,1.0,2010
Massachusetts,1.0,2011
Massachusetts,1.0,2012
Massachusetts,1.0,2013
Massachusetts,1.0,2014
Massachusetts,1.0,2015
Florida,0.0,2007
Florida,0.0,2008
Florida,0.0,2009
Florida,0.0,2010
Florida,0.0,2011
Idaho,0.0,2007
Idaho,0.0,2008
Idaho,0.0,2009
Idaho,0.0,2010
Idaho,0.0,2011
Idaho,0.0,2012
Idaho,0.0,2013
Idaho,0.0,2014
Idaho,0.0,2015
Idaho,0.0,2016
Idaho,0.0,2017
Idaho,0.0,2018
Idaho,0.0,2019
Virgin Islands,1.0,2007
Virgin Islands,1.0,2008
Virgin Islands,1.0,2009
Virgin Islands,1.0,2010
Virgin Islands,1.0,2011
Virgin Islands,1.0,2012
Virgin Islands,1.0,2013
Virgin Islands,1.0,2014
Virgin Islands,1.0,2015
New York,1.0,2007
New York,1.0,2008
Nevada,0.0,2007
Nevada,0.0,2008
Nevada,0.0,2009
Nevada,0.0,2010
Nevada,0.0,2011
Alaska,0.0,2006
Alaska,0.0,2007
Alaska,0.0,2008
Alaska,0.0,2009
Idaho,0.0,2006
Idaho,0.0,2007
New Jersey,1.0,2006
New Jersey,1.0,2007
New Jersey,1.0,2008
New Jersey,1.0,2009
New Jersey,1.0,2010
Virginia,1.0,2006
Virginia,1.0,2007
Virginia,1.0,2008
Virginia,1.0,2009
Virginia,1.0,2010
Northern Mariana Islands,0.0,2006
Northern Mariana Islands,0.0,2007
Northern Mariana Islands,0.0,2008
Northern Mariana Islands,0.0,2009
Northern Mariana Islands,0.0,2010
Northern Mariana Islands,0.0,2011
Northern Mariana Islands,0.0,2012
Northern Mariana Islands,0.0,2013
Nebraska,0.0,2005
Nebraska,0.0,2006
Nebraska,0.0,2007
Nebraska,0.0,2008
Nebraska,0.0,2009
Nebraska,0.0,2010
Nebraska,0.0,2011
Nebraska,0.0,2012
Nebraska,0.0,2013
Nebraska,0.0,2014
Nebraska,0.0,2015
West Virginia,1.0,2005
West Virginia,1.0,2006
West Virginia,1.0,2007
West Virginia,1.0,2008
West Virginia,1.0,2009
West Virginia,1.0,2010
Washington,1.0,2005
Washington,1.0,2006
Washington,1.0,2007
Washington,1.0,2008
Washington,1.0,2009
Washington,1.0,2010
Washington,1.0,2011
Washington,1.0,2012
Washington,1.0,2013
Missouri,0.0,2005
Missouri,0.0,2006
Missouri,0.0,2007
Missouri,0.0,2008
Missouri,0.0,2009
Indiana,0.0,2005
Indiana,0.0,2006
Indiana,0.0,2007
Indiana,0.0,2008
Indiana,0.0,2009
Indiana,0.0,2010
Indiana,0.0,2011
Indiana,0.0,2012
Indiana,0.0,2013
New Hampshire,1.0,2005
New Hampshire,1.0,2006
New Hampshire,1.0,2007
New Hampshire,1.0,2008
New Hampshire,1.0,2009
New Hampshire,1.0,2010
New Hampshire,1.0,2011
New Hampshire,1.0,2012
New Hampshire,1.0,2013
Utah,0.0,2005
Utah,0.0,2006
Utah,0.0,2007
Utah,0.0,2008
Utah,0.0,2009
Montana,1.0,2005
Montana,1.0,2006
Montana,1.0,2007
Montana,1.0,2008
Montana,1.0,2009
Montana,1.0,2010
Montana,1.0,2011
Montana,1.0,2012
Montana,1.0,2013
Connecticut,0.0,2004
Connecticut,0.0,2005
Connecticut,0.0,2006
Connecticut,0.0,2007
Connecticut,0.0,2008
Connecticut,0.0,2009
Connecticut,0.0,2010
Connecticut,0.0,2011
Louisiana,1.0,2004
Louisiana,1.0,2005
Louisiana,1.0,2006
Louisiana,1.0,2007
Louisiana,1.0,2008
Mississippi,0.0,2004
Mississippi,0.0,2005
Mississippi,0.0,2006
Mississippi,0.0,2007
Mississippi,0.0,2008
Mississippi,0.0,2009
Mississippi,0.0,2010
Mississippi,0.0,2011
Mississippi,0.0,2012
Kentucky,0.0,2003
Kentucky,0.0,2004
Kentucky,0.0,2005
Kentucky,0.0,2006
Kentucky,0.0,2007
California,0.0,2003
California,0.0,2004
California,0.0,2005
California,0.0,2006
California,0.0,2007
California,0.0,2008
California,0.0,2009
California,0.0,2010
California,0.0,2011
Utah,0.0,2003
Utah,0.0,2004
Utah,0.0,2005
Indiana,1.0,2003
Indiana,1.0,2004
Indiana,1.0,2005
American Samoa,1.0,2003
American Samoa,1.0,2004
American Samoa,1.0,2005
American Samoa,1.0,2006
American Samoa,1.0,2007
American Samoa,1.0,2008
American Samoa,1.0,2009
American Samoa,1.0,2010
American Samoa,1.0,2011
American Samoa,1.0,2012
American Samoa,1.0,2013
Pennsylvania,1.0,2003
Pennsylvania,1.0,2004
Pennsylvania,1.0,2005
Pennsylvania,1.0,2006
Pennsylvania,1.0,2007
Pennsylvania,1.0,2008
Pennsylvania,1.0,2009
Pennsylvania,1.0,2010
Pennsylvania,1.0,2011
Alabama,0.0,2003
Alabama,0.0,2004
Alabama,0.0,2005
Alabama,0.0,2006
Alabama,0.0,2007
Alabama,0.0,2008
Alabama,0.0,2009
Alabama,0.0,2010
Alabama,0.0,2011
Tennessee,1.0,2003
Tennessee,1.0,2004
Tennessee,1.0,2005
Tennessee,1.0,2006
Tennessee,1.0,2007
Tennessee,1.0,2008
Tennessee,1.0,2009
Tennessee,1.0,2010
Tennessee,1.0,2011
South Carolina,0.0,2003
South Carolina,0.0,2004
South Carolina,0.0,2005
South Carolina,0.0,2006
South Carolina,0.0,2007
South Carolina,0.0,2008
South Carolina,0.0,2009
South Carolina,0.0,2010
South Carolina,0.0,2011
Maryland,0.0,2003
Maryland,0.0,2004
Maryland,0.0,2005
Maryland,0.0,2006
Maryland,0.0,2007
Georgia,0.0,2003
Georgia,0.0,2004
Georgia,0.0,2005
Georgia,0.0,2006
Georgia,0.0,2007
Georgia,0.0,2008
Georgia,0.0,2009
Georgia,0.0,2010
Georgia,0.0,2011
Illinois,1.0,2003
Illinois,1.0,2004
Illinois,1.0,2005
Illinois,1.0,2006
Illinois,1.0,2007
Illinois,1.0,2008
Illinois,1.0,2009
Oklahoma,1.0,2003
Oklahoma,1.0,2004
Oklahoma,1.0,2005
Oklahoma,1.0,2006
Oklahoma,1.0,2007
Oklahoma,1.0,2008
Oklahoma,1.0,2009
Oklahoma,1.0,2010
Oklahoma,1.0,2011
Oregon,1.0,2003
Oregon,1.0,2004
Oregon,1.0,2005
Oregon,1.0,2006
Oregon,1.0,2007
Oregon,1.0,2008
Oregon,1.0,2009
Oregon,1.0,2010
Oregon,1.0,2011
New Hampshire,0.0,2003
New Hampshire,0.0,2004
New Hampshire,0.0,2005
Kansas,1.0,2003
Kansas,1.0,2004
Kansas,1.0,2005
Kansas,1.0,2006
Kansas,1.0,2007
Kansas,1.0,2008
Kansas,1.0,2009
Vermont,0.0,2003
Vermont,0.0,2004
Vermont,0.0,2005
Vermont,0.0,2006
Vermont,0.0,2007
Vermont,0.0,2008
Vermont,0.0,2009
Vermont,0.0,2010
Vermont,0.0,2011
Maine,1.0,2003
Maine,1.0,2004
Maine,1.0,2005
Maine,1.0,2006
Maine,1.0,2007
Maine,1.0,2008
Maine,1.0,2009
Maine,1.0,2010
Maine,1.0,2011
South Dakota,0.0,2003
South Dakota,0.0,2004
South Dakota,0.0,2005
South Dakota,0.0,2006
South Dakota,0.0,2007
South Dakota,0.0,2008
South Dakota,0.0,2009
South Dakota,0.0,2010
South Dakota,0.0,2011
Rhode Island,0.0,2003
Rhode Island,0.0,2004
Rhode Island,0.0,2005
Rhode Island,0.0,2006
Rhode Island,0.0,2007
Rhode Island,0.0,2008
Rhode Island,0.0,2009
Rhode Island,0.0,2010
Rhode Island,0.0,2011
Arizona,1.0,2003
Arizona,1.0,2004
Arizona,1.0,2005
Arizona,1.0,2006
Arizona,1.0,2007
Arizona,1.0,2008
Arizona,1.0,2009
Wyoming,1.0,2003
Wyoming,1.0,2004
Wyoming,1.0,2005
Wyoming,1.0,2006
Wyoming,1.0,2007
Wyoming,1.0,2008
Wyoming,1.0,2009
Wyoming,1.0,2010
Wyoming,1.0,2011
Wisconsin,1.0,2003
Wisconsin,1.0,2004
Wisconsin,1.0,2005
Wisconsin,1.0,2006
Wisconsin,1.0,2007
Wisconsin,1.0,2008
Wisconsin,1.0,2009
Wisconsin,1.0,2010
Wisconsin,1.0,2011
Minnesota,0.0,2003
Minnesota,0.0,2004
Minnesota,0.0,2005
Minnesota,0.0,2006
Minnesota,0.0,2007
Minnesota,0.0,2008
Minnesota,0.0,2009
Minnesota,0.0,2010
Minnesota,0.0,2011
Guam,0.0,2003
Guam,0.0,2004
Guam,0.0,2005
Guam,0.0,2006
Guam,0.0,2007
Guam,0.0,2008
Guam,0.0,2009
Guam,0.0,2010
Guam,0.0,2011
New Mexico,1.0,2003
New Mexico,1.0,2004
New Mexico,1.0,2005
New Mexico,1.0,2006
New Mexico,1.0,2007
New Mexico,1.0,2008
New Mexico,1.0,2009
New Mexico,1.0,2010
New Mexico,1.0,2011
Michigan,1.0,2003
Michigan,1.0,2004
Michigan,1.0,2005
Michigan,1.0,2006
Michigan,1.0,2007
Michigan,1.0,2008
Michigan,1.0,2009
Michigan,1.0,2010
Michigan,1.0,2011
Massachusetts,0.0,2003
Massachusetts,0.0,2004
Massachusetts,0.0,2005
Massachusetts,0.0,2006
Massachusetts,0.0,2007
Hawaii,0.0,2002
Hawaii,0.0,2003
Hawaii,0.0,2004
Hawaii,0.0,2005
Hawaii,0.0,2006
Hawaii,0.0,2007
Hawaii,0.0,2008
Hawaii,0.0,2009
Hawaii,0.0,2010
Alaska,0.0,2002
Alaska,0.0,2003
Alaska,0.0,2004
Alaska,0.0,2005
Alaska,0.0,2006
New Jersey,1.0,2002
New Jersey,1.0,2003
New Jersey,1.0,2004
Northern Mariana Islands,0.0,2002
Northern Mariana Islands,0.0,2003
Northern Mariana Islands,0.0,2004
Northern Mariana Islands,0.0,2005
Northern Mariana Islands,0.0,2006
Virginia,1.0,2002
Virginia,1.0,2003
Virginia,1.0,2004
Virginia,1.0,2005
Virginia,1.0,2006
New Jersey,1.0,2002
New Jersey,0.0,2002
Pennsylvania,0.0,2001
Pennsylvania,0.0,2002
Pennsylvania,0.0,2003
Massachusetts,0.0,2001
Massachusetts,0.0,2002
Massachusetts,0.0,2003
Wisconsin,0.0,2001
Wisconsin,0.0,2002
Wisconsin,0.0,2003
New Jersey,0.0,2001
New Jersey,0.0,2002
West Virginia,1.0,2001
West Virginia,1.0,2002
West Virginia,1.0,2003
West Virginia,1.0,2004
West Virginia,1.0,2005
Missouri,1.0,2001
Missouri,1.0,2002
Missouri,1.0,2003
Missouri,1.0,2004
Missouri,1.0,2005
Delaware,1.0,2001
Delaware,1.0,2002
Delaware,1.0,2003
Delaware,1.0,2004
Delaware,1.0,2005
Delaware,1.0,2006
Delaware,1.0,2007
Delaware,1.0,2008
Delaware,1.0,2009
North Carolina,1.0,2001
North Carolina,1.0,2002
North Carolina,1.0,2003
North Carolina,1.0,2004
North Carolina,1.0,2005
North Carolina,1.0,2006
North Carolina,1.0,2007
North Carolina,1.0,2008
North Carolina,1.0,2009
Montana,0.0,2001
Montana,0.0,2002
Montana,0.0,2003
Montana,0.0,2004
Montana,0.0,2005
Texas,0.0,2000
Texas,0.0,2001
Texas,0.0,2002
Texas,0.0,2003
Texas,0.0,2004
Texas,0.0,2005
Texas,0.0,2006
Texas,0.0,2007
Texas,0.0,2008
Texas,0.0,2009
Texas,0.0,2010
Texas,0.0,2011
Texas,0.0,2012
Texas,0.0,2013
Texas,0.0,2014
Texas,0.0,2015
North Dakota,0.0,2000
North Dakota,0.0,2001
North Dakota,0.0,2002
North Dakota,0.0,2003
North Dakota,0.0,2004
North Dakota,0.0,2005
North Dakota,0.0,2006
North Dakota,0.0,2007
North Dakota,0.0,2008
North Dakota,0.0,2009
North Dakota,0.0,2010
Missouri,1.0,2000
Missouri,1.0,2001
Mississippi,1.0,2000
Mississippi,1.0,2001
Mississippi,1.0,2002
Mississippi,1.0,2003
Mississippi,1.0,2004
Alabama,1.0,1999
Alabama,1.0,2000
Alabama,1.0,2001
Alabama,1.0,2002
Alabama,1.0,2003
Iowa,1.0,1999
Iowa,1.0,2000
Iowa,1.0,2001
Iowa,1.0,2002
Iowa,1.0,2003
Iowa,1.0,2004
Iowa,1.0,2005
Iowa,1.0,2006
Iowa,1.0,2007
Colorado,0.0,1999
Colorado,0.0,2000
Colorado,0.0,2001
Colorado,0.0,2002
Colorado,0.0,2003
Colorado,0.0,2004
Colorado,0.0,2005
Colorado,0.0,2006
Colorado,0.0,2007
Georgia,1.0,1999
Georgia,1.0,2000
Georgia,1.0,2001
Georgia,1.0,2002
Georgia,1.0,2003
Illinois,0.0,1999
Illinois,0.0,2000
Illinois,0.0,2001
Illinois,0.0,2002
Illinois,0.0,2003
Idaho,0.0,1999
Idaho,0.0,2000
Idaho,0.0,2001
Idaho,0.0,2002
Idaho,0.0,2003
Idaho,0.0,2004
Idaho,0.0,2005
Idaho,0.0,2006
Nebraska,0.0,1999
Nebraska,0.0,2000
Nebraska,0.0,2001
Nebraska,0.0,2002
Nebraska,0.0,2003
Nebraska,0.0,2004
Nebraska,0.0,2005
Florida,0.0,1999
Florida,0.0,2000
Florida,0.0,2001
Florida,0.0,2002
Florida,0.0,2003
Florida,0.0,2004
Florida,0.0,2005
Florida,0.0,2006
Florida,0.0,2007
Nevada,0.0,1999
Nevada,0.0,2000
Nevada,0.0,2001
Nevada,0.0,2002
Nevada,0.0,2003
Nevada,0.0,2004
Nevada,0.0,2005
Nevada,0.0,2006
Nevada,0.0,2007
Virgin Islands,1.0,1999
Virgin Islands,1.0,2000
Virgin Islands,1.0,2001
Virgin Islands,1.0,2002
Virgin Islands,1.0,2003
Virgin Islands,1.0,2004
Virgin Islands,1.0,2005
Virgin Islands,1.0,2006
Virgin Islands,1.0,2007
California,1.0,1999
California,1.0,2000
California,1.0,2001
California,1.0,2002
California,1.0,2003
Ohio,0.0,1999
Ohio,0.0,2000
Ohio,0.0,2001
Ohio,0.0,2002
Ohio,0.0,2003
Ohio,0.0,2004
Ohio,0.0,2005
Ohio,0.0,2006
Ohio,0.0,2007
South Carolina,1.0,1999
South Carolina,1.0,2000
South Carolina,1.0,2001
South Carolina,1.0,2002
South Carolina,1.0,2003
Ohio,0.0,1998
Ohio,0.0,1999
Florida,1.0,1998
Florida,1.0,1999
Virginia,0.0,1998
Virginia,0.0,1999
Virginia,0.0,2000
Virginia,0.0,2001
Virginia,0.0,2002
Northern Mariana Islands,0.0,1998
Northern Mariana Islands,0.0,1999
Northern Mariana Islands,0.0,2000
Northern Mariana Islands,0.0,2001
Northern Mariana Islands,0.0,2002
Northern Mariana Islands,0.0,1982
Northern Mariana Islands,0.0,1983
Northern Mariana Islands,0.0,1984
Northern Mariana Islands,0.0,1985
Northern Mariana Islands,0.0,1986
Northern Mariana Islands,0.0,1987
Northern Mariana Islands,0.0,1988
Northern Mariana Islands,0.0,1989
Northern Mariana Islands,0.0,1990
Arizona,0.0,1997
Arizona,0.0,1998
Arizona,0.0,1999
Arizona,0.0,2000
Arizona,0.0,2001
Arizona,0.0,2002
Arizona,0.0,2003
Massachusetts,0.0,1997
Massachusetts,0.0,1998
Massachusetts,0.0,1999
Massachusetts,0.0,2000
Massachusetts,0.0,2001
Washington,1.0,1997
Washington,1.0,1998
Washington,1.0,1999
Washington,1.0,2000
Washington,1.0,2001
Washington,1.0,2002
Washington,1.0,2003
Washington,1.0,2004
Washington,1.0,2005
Indiana,1.0,1997
Indiana,1.0,1998
Indiana,1.0,1999
Indiana,1.0,2000
Indiana,1.0,2001
Indiana,1.0,2002
Indiana,1.0,2003
West Virginia,0.0,1997
West Virginia,0.0,1998
West Virginia,0.0,1999
West Virginia,0.0,2000
West Virginia,0.0,2001
West Virginia,0.0,1957
West Virginia,0.0,1958
West Virginia,0.0,1959
West Virginia,0.0,1960
West Virginia,0.0,1961
New Hampshire,1.0,1997
New Hampshire,1.0,1998
New Hampshire,1.0,1999
New Hampshire,1.0,2000
New Hampshire,1.0,2001
New Hampshire,1.0,2002
New Hampshire,1.0,2003
American Samoa,1.0,1997
American Samoa,1.0,1998
American Samoa,1.0,1999
American Samoa,1.0,2000
American Samoa,1.0,2001
American Samoa,1.0,2002
American Samoa,1.0,2003
Arkansas,0.0,1996
Arkansas,0.0,1997
Arkansas,0.0,1998
Arkansas,0.0,1999
Arkansas,0.0,2000
Arkansas,0.0,2001
Arkansas,0.0,2002
Arkansas,0.0,2003
Arkansas,0.0,2004
Arkansas,0.0,2005
Arkansas,0.0,2006
Arkansas,0.0,2007
Kentucky,1.0,1995
Kentucky,1.0,1996
Kentucky,1.0,1997
Kentucky,1.0,1998
Kentucky,1.0,1999
Kentucky,1.0,2000
Kentucky,1.0,2001
Kentucky,1.0,2002
Kentucky,1.0,2003
Maryland,1.0,1995
Maryland,1.0,1996
Maryland,1.0,1997
Maryland,1.0,1998
Maryland,1.0,1999
Maryland,1.0,2000
Maryland,1.0,2001
Maryland,1.0,2002
Maryland,1.0,2003
Texas,0.0,1995
Texas,0.0,1996
Texas,0.0,1997
Texas,0.0,1998
Texas,0.0,1999
Texas,0.0,2000
Pennsylvania,0.0,1995
Pennsylvania,0.0,1996
Pennsylvania,0.0,1997
Pennsylvania,0.0,1998
Pennsylvania,0.0,1999
Pennsylvania,0.0,2000
Pennsylvania,0.0,2001
Alabama,0.0,1995
Alabama,0.0,1996
Alabama,0.0,1997
Alabama,0.0,1998
Alabama,1.0,1979
Alabama,1.0,1980
Alabama,1.0,1981
Alabama,1.0,1982
Tennessee,0.0,1995
Tennessee,0.0,1996
